"","summary_glm","summary_gee","summary_re_nosig","summary_re","summary_cop","summary_cop_n","actuals","","","",""
"",-0.875124191753333,-0.875124191753314,-1.95545859116289,-3.25473148551214,-0.87149931856511,-0.848206608874445,-0.916290731874155,0.4,0.27796996996997,12.5,1.5625
"",-0.890839788944414,-0.890839788944404,-2.29579135740362,-3.42306987346203,-0.886629306489511,-0.823096335803989,-0.916290731874155,0.4,0.388748748748749,12.5,1.5625
"",-0.886418004931823,-0.886418017570074,-2.31698948356849,-2.70375077457113,-0.908481272540938,-0.814517919790698,-0.916290731874155,0.4,0.403471471471471,12.5,1.5625
"",-0.937222487211183,-0.937222489978494,-2.40030887993865,-3.42871851938229,-0.936894437598988,-0.862834757610474,-0.916290731874155,0.4,0.465937937937938,12.5,1.5625
"",-0.970090447345635,-0.970090447417279,-2.44184448860661,-2.71858554807855,-0.979918187389244,-0.870622296457771,-0.916290731874155,0.4,0.504684684684685,12.5,1.5625
"",-0.977070752391291,-0.977070752432778,-2.46356812059433,-2.46311926567406,-0.968651398696193,-0.882411650142942,-0.916290731874155,0.4,0.530058058058058,12.5,1.5625
"",-0.98355551557748,-0.98355551568791,-2.511813207014,-3.42787068469413,-0.980432753309364,-0.873476248322451,-0.916290731874155,0.4,0.5685005005005,12.5,1.5625
"",-0.995625038441633,-0.995625038445764,-2.49188089175809,-2.71048008705573,-0.990373914844742,-0.872430035516992,-0.916290731874155,0.4,0.566502502502502,12.5,1.5625
"",-0.957965529932291,-0.957965530049222,-2.51643443001406,-3.4028970192561,-0.959467685226242,-0.828125679464714,-0.916290731874155,0.4,0.596932932932933,12.5,1.5625
"",-0.954670822033843,-0.954670822085206,-2.51834300406123,-3.40246891589927,-0.96111362374279,-0.807106565891589,-0.916290731874155,0.4,0.603451451451451,12.5,1.5625
"",-0.966333825493355,-0.966333825553719,-2.55334961773205,-3.41329842369022,-0.975578743615936,-0.807645160167153,-0.916290731874155,0.4,0.638446446446446,12.5,1.5625
"",-0.969958382012175,-0.969958382037935,-2.54159372251616,-3.4051088020053,-0.963321077848243,-0.823479092937687,-0.916290731874155,0.4,0.640844844844845,12.5,1.5625
"",-0.958411174927175,-0.958411174968471,-2.54776671921832,-2.09593650047884,-0.944252595064671,-0.805329735426156,-0.916290731874155,0.4,0.656248248248248,12.5,1.5625
"",-1.00856905364556,-1.00856905364627,-2.56845765564911,-3.4131628034557,-0.989574633880929,-0.855251337749241,-0.916290731874155,0.4,0.66643043043043,12.5,1.5625
"",-0.959635589898802,-0.959635589918755,-2.55782913873193,-2.1378169904901,-0.89108341783102,-0.780514944551148,-0.916290731874155,0.4,0.689893893893894,12.5,1.5625
"",-0.974536668886182,-0.974536668898367,-2.57971538067323,-2.22930087105136,-0.957977120455966,-0.815583817964288,-0.916290731874155,0.4,0.693265265265265,12.5,1.5625
"",-0.975600186406242,-0.975600186414121,-2.57998187872281,-2.20227857531543,-0.947356556414099,-0.786134645091785,-0.916290731874155,0.4,0.698382382382382,12.5,1.5625
"",-0.967754293194181,-0.967754293275367,-2.60439045751492,-2.26826454577598,-0.956315154722031,-0.78438675948292,-0.916290731874155,0.4,0.711383383383383,12.5,1.5625
"",-0.954134943398431,-0.954134943570881,-2.60865694980181,-3.38922060178318,-0.922103014428336,-0.752965905015816,-0.916290731874155,0.4,0.717645645645646,12.5,1.5625
"",-0.678262800264702,-0.67826280054045,-1.29739754832332,-1.26651569656014,-0.677169760773437,-0.670440861953164,-0.693147180559945,0.5,0.163383383383383,8,1
"",-0.684106802274873,-0.684106802515447,-1.47672670851027,-1.43992230182931,-0.686315626704422,-0.669763762576259,-0.693147180559945,0.5,0.253037037037037,8,1
"",-0.671692194843815,-0.671692205266304,-1.58919700864705,-2.00282625822054,-0.680014020573068,-0.64447661520104,-0.693147180559945,0.5,0.286202202202202,8,1
"",-0.739224267881273,-0.739224267881282,-1.78863348893613,-2.79289239693835,-0.752302460546918,-0.708836450979414,-0.693147180559945,0.5,0.379335335335335,8,1
"",-0.744298888961477,-0.744298888961459,-1.80095182861427,-2.77851433028471,-0.743090515257765,-0.695578636339823,-0.693147180559945,0.5,0.425681681681682,8,1
"",-0.737011856062521,-0.737011856062509,-1.8180336665103,-2.77795767616151,-0.741956486635526,-0.689538685744897,-0.693147180559945,0.5,0.43983983983984,8,1
"",-0.708958129001424,-0.708958129001414,-1.86063567973033,-1.85894949186902,-0.713014984433265,-0.647726382129514,-0.693147180559945,0.5,0.483983983983984,8,1
"",-0.70695581770065,-0.70695581770066,-1.88300713667248,-2.76717091258268,-0.710878162983146,-0.636928023496522,-0.693147180559945,0.5,0.499827827827828,8,1
"",-0.819007979952589,-0.819007983670206,-1.91748414307093,-2.7772771390698,-0.824667026238299,-0.75286132063667,-0.693147180559945,0.5,0.505301301301301,8,1
"",-0.746475305580971,-0.746475305580957,-1.91354023928968,-2.75984620263697,-0.760825601352895,-0.665517405018916,-0.693147180559945,0.5,0.548036036036036,8,1
